date, pm25, pm10, no2, so2, co
2025/7/1, 28, 12, 3, 1, 5
2025/7/2, 41, 22, 7, 1, 5
2025/7/3, 65, 16, 3, , 5
2025/7/4, 42, 12, 3, 1, 5
2025/7/5, 41, 14, 2, 1, 5
2025/7/6, 44, 15, 6, 1, 5
2025/7/7, 46, 8, 3, 2, 5
2025/7/8, 23, 3, 3, 2, 5
2025/7/9, 11, 5, 3, 2, 5
2025/7/10, 15, 12, 3, 2, 5
2025/7/11, 34, 9, 3, 2, 4
2025/7/12, 28, 13, 4, 2, 5
2025/7/13, 38, 15, 5, 1, 5
2025/7/14, 47, 14, 3, 2, 5
2025/7/15, 44, 11, 3, 2, 5
2025/7/16, 33, 8, 4, 2, 5
2025/7/17, 22, 10, 5, 3, 5
2025/7/18, 29, 10, 2, 2, 5
2025/7/19, 35, 11, 2, 2, 5
2025/7/20, 41, 17, 3, 2, 5
2025/7/21, 51, 9, 1, 2, 5
2025/7/22, 29, 9, 2, 2, 5
2025/4/1, 50, 13, 1, 3, 5
2025/4/2, 43, 16, 4, 3, 5
2025/4/3, 41, 15, 7, 3, 5
2025/4/4, 43, 15, 2, 3, 5
2025/4/5, 44, 14, 1, 3, 4
2025/4/6, 25, 15, 6, 3, 5
2025/4/7, 36, 13, 4, 3, 5
2025/4/8, 40, 16, 10, 3, 5
2025/4/9, 42, 10, 4, 3, 4
2025/4/10, 34, 15, 2, 3, 5
2025/4/11, 40, 12, 1, 3, 5
2025/4/12, 39, 14, 1, 3, 5
2025/4/13, 42, 16, 1, 3, 6
2025/4/14, 40, 9, 1, 3, 5
2025/4/15, 27, 21, 1, 3, 5
2025/4/16, 43, 29, 4, 3, 5
2025/4/17, 59, 15, 3, 3, 5
2025/4/18, 40, 8, 3, 3, 5
2025/4/19, 27, 14, 4, 3, 5
2025/4/20, 38, 21, 5, 3, 5
2025/4/21, 54, 25, 5, 3, 5
2025/4/22, 52, 18, 4, 3, 5
2025/4/23, 47, 17, 5, 3, 5
2025/4/24, 46, 11, 5, 4, 5
2025/4/25, 33, 9, 1, 3, 4
2025/4/26, 27, 12, 3, 3, 4
2025/4/27, 28, 12, 5, 2, 5
2025/4/28, 34, 16, 4, 3, 5
2025/4/29, 43, 20, 6, 3, 5
2025/4/30, 49, 17, 4, 3, 5
2025/5/1, 46, 19, 6, 3, 5
2025/5/2, 51, 21, 4, 3, 5
2025/5/3, 52, 12, 2, 3, 5
2025/5/4, 28, 10, 1, 4, 5
2025/5/5, 26, 12, 1, 4, 5
2025/5/6, 34, 16, 3, 4, 5
2025/5/7, 43, 13, 2, 4, 4
2025/5/8, 29, 14, 5, 4, 5
2025/5/9, 34, 12, 4, 3, 5
2025/5/10, 33, 9, 2, 4, 5
2025/5/11, 29, 11, 3, 4, 5
2025/5/12, 36, 11, 5, 4, 5
2025/5/13, 37, 14, 7, 4, 5
2025/5/14, 41, 10, 7, 4, 5
2025/5/15, 32, 7, 4, 4, 5
2025/5/16, 24, 7, 2, 4, 5
2025/5/17, 22, 4, 2, 4, 5
2025/5/18, 13, 4, 3, 4, 5
2025/5/19, 16, 7, 5, 4, 5
2025/5/20, 23, 11, 5, 4, 5
2025/5/21, 32, 12, 4, 4, 5
2025/5/22, 42, 5, 2, 4, 5
2025/5/23, 19, 9, 3, 4, 5
2025/5/24, 31, 11, 2, 4, 4
2025/5/25, 40, 12, 5, 4, 5
2025/5/26, 40, 12, 5, 4, 5
2025/5/27, 37, 14, 5, 4, 5
2025/5/28, 46, 6, 3, 4, 5
2025/5/29, 20, 11, 6, 4, 5
2025/5/30, 32, 10, 2, 3, 5
2025/5/31, 38, 13, 3, 4, 5
2025/6/1, 45, 13, 5, 4, 5
2025/6/2, 48, 9, 5, 4, 5
2025/6/3, 27, 15, 5, 4, 5
2025/6/4, 49, 20, 4, 4, 5
2025/6/5, 66, 22, 6, 4, 5
2025/6/6, 68, 20, 4, 4, 5
2025/6/7, 78, 11, 2, 4, 5
2025/6/8, 74, 7, 3, 4, 5
2025/6/9, 57, 12, 4, 4, 5
2025/6/10, 45, 14, 3, 4, 5
2025/6/11, 48, 11, 3, 4, 5
2025/6/12, 35, 12, 4, 4, 5
2025/6/13, 43, 11, 2, 4, 5
2025/6/14, 60, 14, 2, 4, 5
2025/6/15, 69, 15, 5, 4, 6
2025/6/16, 71, 9, 2, 5, 6
2025/6/17, 63, 16, 3, , 5
2025/6/18, 76, 19, 5, , 6
2025/6/19, 58, 13, 3, , 5
2025/6/20, 31, 10, 3, , 5
2025/6/21, 34, 12, 3, , 5
2025/6/22, 43, 20, 5, 1, 5
2025/6/23, 57, 12, 3, 1, 5
2025/6/24, 37, 12, 5, 1, 5
2025/6/25, 39, 17, 4, 1, 5
2025/6/26, 52, 14, 3, , 5
